group_id,call_index,global_step,uid,data_source,n_rollouts,correct_count,all_wrong,all_correct,mixed,group_success_rate,cost_all_mean,cost_correct_mean,cost_correct_min,cost_correct_max,cost_gap_correct,queries_all_mean,turns_all_mean,tokens_all_mean,is_active_efficiency,keep_GAP,keep_E1_lambda0.05,is_E1_only,is_GAP_only,in_intersection,cohort
189:109923,189,90,109923,hotpotqa,8,8,False,True,False,1.0,1.875,1.875,1.0,2.0,1.0,2.875,2.875,1810.75,True,False,True,True,False,False,E1_added
195:158341,195,90,158341,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,2.0,2.75,1368.25,True,False,True,True,False,False,E1_added
196:81274,196,90,81274,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,2.25,2.25,1523.875,True,False,True,True,False,False,E1_added
196:83565,196,90,83565,hotpotqa,8,7,False,False,True,0.875,3.0,3.0,3.0,3.0,0.0,3.0,4.0,1866.375,False,True,True,False,False,True,GAP_displaced
196:15965,196,90,15965,nq,8,1,False,False,True,0.125,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1167.375,False,True,True,False,False,True,GAP_displaced
197:18886,197,91,18886,nq,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,2.0,2.125,1252.5,True,False,True,True,False,False,E1_added
201:37654,201,91,37654,nq,8,8,False,True,False,1.0,1.5,1.5,1.0,2.0,1.0,1.5,2.5,1074.0,True,False,True,True,False,False,E1_added
203:160989,203,91,160989,hotpotqa,8,8,False,True,False,1.0,1.25,1.25,1.0,2.0,1.0,1.25,2.25,943.25,True,False,True,True,False,False,E1_added
203:83699,203,91,83699,hotpotqa,8,8,False,True,False,1.0,1.75,1.75,1.0,2.0,1.0,1.75,2.75,1169.5,True,False,True,True,False,False,E1_added
203:93566,203,91,93566,hotpotqa,8,8,False,True,False,1.0,1.125,1.125,1.0,2.0,1.0,1.125,2.125,905.75,True,False,True,True,False,False,E1_added
